,duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,proto_tcp,proto_udp,conn_state_OTH,conn_state_S0,conn_state_S1,conn_state_SF
97,0.007743,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
98,0.001988,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
99,0.103191,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
100,0.030979,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
101,0.005247,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
102,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
103,0.024231,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
104,0.001998,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
105,0.104188,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
106,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
107,0.012734,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
108,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
109,0.007495,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
110,0.005744,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
111,0.119688,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
112,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
113,0.005238,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
114,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
115,0.007235,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
116,0.002489,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
117,0.101196,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
118,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
119,0.005231,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
120,0.005479,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
121,0.016739,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
122,0.007988,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
123,0.100689,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
124,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
125,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
126,0.011243,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
127,0.006996,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
128,0.001998,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
129,0.102691,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
130,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
131,0.004990,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
132,0.005245,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
133,0.066211,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
134,0.008252,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
135,0.105945,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
136,0.030967,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
137,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
138,0.005244,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
139,0.038476,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
140,0.005503,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
141,0.110432,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
142,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
143,0.012236,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
144,0.007242,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
145,0.001996,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
146,0.100940,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
147,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
148,0.004995,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
149,0.005480,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
150,0.023740,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
151,0.006496,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
152,0.104438,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
153,0.011731,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
154,0.005493,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
155,0.006744,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
156,0.004232,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
157,0.100696,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
158,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
159,0.005251,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
160,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
161,0.015506,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
162,0.002246,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
163,0.103187,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
164,0.005246,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
165,0.007243,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
166,0.005488,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
167,0.001997,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
168,0.274839,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
169,0.031230,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
170,0.005231,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
171,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
172,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
173,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
174,0.100692,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
175,0.030997,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
176,0.005242,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
177,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
178,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
179,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
180,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
181,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
182,0.005489,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
183,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
184,0.002232,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
185,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
186,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
187,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
188,0.008491,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
189,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
190,0.001996,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
191,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
192,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
193,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
194,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
195,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
196,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
197,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
198,0.005246,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
199,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
200,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
201,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
202,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
203,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
204,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
205,0.008247,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
206,0.002243,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
207,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
208,0.100692,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
209,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
210,0.005486,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
211,0.007244,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
212,0.001982,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
213,0.005241,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
214,0.005490,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
215,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
216,0.014742,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
217,0.030732,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
218,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
219,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
220,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
221,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
222,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
223,0.005250,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
224,0.002746,48,48,0.0,1.0,76.0,1.0,76.0,Benign,0,1,0,0,0,1
225,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
226,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
227,300.802367,1744830458,0,0.0,1305034.0,1781371410.0,0.0,0.0,DDoS,0,1,0,1,0,0
228,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
229,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
230,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
231,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
232,6803.476778,639,627,0.0,337.0,18203.0,362.0,19519.0,C&C,1,0,0,0,1,0
233,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
234,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
235,0,0,0,0.0,1.0,76.0,0.0,0.0,Benign,0,1,0,1,0,0
